"","ID","fold","lon","lat"
"CBNA_383011","CBNA_383011",4,6.53785416,44.32423274
"CBNA_383130","CBNA_383130",1,6.861754531,44.56233366
"CBNA_383412","CBNA_383412",1,6.642830523,43.87816841
"CBNA_383492","CBNA_383492",2,6.198857505,44.26290727
"CBNA_388286","CBNA_388286",3,6.745654342,44.25978705
"CBNA_388399","CBNA_388399",3,6.708671865,44.27472634
"CBNA_388415","CBNA_388415",2,6.742396071,44.28082858
"CBNA_388416","CBNA_388416",4,6.741559052,44.28072058
"CBNA_388419","CBNA_388419",1,6.722694337,44.27748045
"CBNA_388423","CBNA_388423",1,6.717501137,44.27711145
"CBNA_388424","CBNA_388424",4,6.717645223,44.27659843
"CBNA_388430","CBNA_388430",1,6.715422132,44.27252148
"CBNA_388434","CBNA_388434",1,6.715944114,44.27692237
"CBNA_388435","CBNA_388435",3,6.714738113,44.27635536
"CBNA_388436","CBNA_388436",1,6.714738035,44.27568043
"CBNA_388442","CBNA_388442",1,6.716214064,44.27867736
"CBNA_388467","CBNA_388467",1,6.739111111,44.25948103
"CBNA_388468","CBNA_388468",2,6.739327179,44.25738405
"CBNA_388471","CBNA_388471",2,6.737806166,44.25439609
"CBNA_388476","CBNA_388476",1,6.733405025,44.25236207
"CBNA_388482","CBNA_388482",2,6.735367072,44.25714102
"CBNA_388492","CBNA_388492",4,6.725331653,44.25608788
"CBNA_388505","CBNA_388505",1,6.722703596,44.25154295
"CBNA_388508","CBNA_388508",4,6.722541607,44.25457592
"CBNA_388511","CBNA_388511",3,6.718932485,44.2524879
"CBNA_388517","CBNA_388517",2,6.712254284,44.25248784
"CBNA_388521","CBNA_388521",1,6.711147149,44.25507081
"CBNA_388522","CBNA_388522",2,6.711075159,44.25522373
"CBNA_388523","CBNA_388523",1,6.710436202,44.25543979
"CBNA_388525","CBNA_388525",4,6.712506143,44.25781569
"CBNA_388526","CBNA_388526",2,6.711408189,44.25768972
"CBNA_388527","CBNA_388527",1,6.709023085,44.25870666
"CBNA_388528","CBNA_388528",2,6.708078051,44.2587967
"CBNA_388532","CBNA_388532",2,6.710616145,44.26009262
"CBNA_388540","CBNA_388540",4,6.71208323,44.25426079
"CBNA_388545","CBNA_388545",3,6.715242437,44.24772694
"CBNA_388549","CBNA_388549",4,6.719931516,44.24966196
"CBNA_388550","CBNA_388550",3,6.72080464,44.24741203
"CBNA_388553","CBNA_388553",3,6.718518564,44.24676401
"CBNA_388559","CBNA_388559",2,6.714621436,44.24635899
"CBNA_388647","CBNA_388647",3,6.308793562,43.87718596
"CBNA_389529","CBNA_389529",2,6.753601434,44.27991074
"CBNA_389533","CBNA_389533",4,6.743962034,44.28403256
"CBNA_389569","CBNA_389569",4,6.843756428,44.36124267
"CBNA_389573","CBNA_389573",3,6.849597769,44.35109096
"CBNA_389574","CBNA_389574",1,6.849651693,44.351775
"CBNA_389577","CBNA_389577",1,6.850137673,44.35126195
"CBNA_389587","CBNA_389587",1,6.859696076,44.34765313
"CBNA_389589","CBNA_389589",1,6.861190048,44.34850813
"CBNA_389594","CBNA_389594",2,6.848661662,44.35444791
"CBNA_389598","CBNA_389598",4,6.848337704,44.348049
"CBNA_389599","CBNA_389599",2,6.850596754,44.35246794
"CBNA_389609","CBNA_389609",2,6.847716709,44.34718511
"CBNA_389611","CBNA_389611",3,6.8384644,44.35047891
"CBNA_389612","CBNA_389612",1,6.839589402,44.35239591
"CBNA_389613","CBNA_389613",1,6.840480374,44.35274692
"CBNA_389620","CBNA_389620",1,6.847878677,44.35296296
"CBNA_389621","CBNA_389621",2,6.851703794,44.34910202
"CBNA_389624","CBNA_389624",3,6.855033914,44.35212601
"CBNA_389626","CBNA_389626",4,6.847383566,44.35674281
"CBNA_389634","CBNA_389634",1,6.863782228,44.34759911
"CBNA_389635","CBNA_389635",1,6.862855124,44.34847209
"CBNA_389637","CBNA_389637",4,6.860704046,44.35330497
"CBNA_389638","CBNA_389638",4,6.860496968,44.35351195
"CBNA_389641","CBNA_389641",4,6.857724851,44.35579788
"CBNA_389642","CBNA_389642",1,6.856500909,44.35465497
"CBNA_389647","CBNA_389647",4,6.854997924,44.35104597
"CBNA_389655","CBNA_389655",1,6.85458379,44.35380897
"CBNA_389666","CBNA_389666",3,6.840534408,44.35603179
"CBNA_389673","CBNA_389673",2,6.832119181,44.35216182
"CBNA_389674","CBNA_389674",1,6.833856215,44.35327781
"CBNA_389692","CBNA_389692",1,6.829374092,44.35289984
"CBNA_389693","CBNA_389693",3,6.828824972,44.35558178
"CBNA_389700","CBNA_389700",4,6.834801363,44.34615903
"CBNA_389705","CBNA_389705",2,6.833109231,44.34716702
"CBNA_389707","CBNA_389707",1,6.831201247,44.34663601
"CBNA_389723","CBNA_389723",3,6.822434893,44.34707693
"CBNA_389729","CBNA_389729",4,6.825576049,44.34803093
"CBNA_389737","CBNA_389737",1,6.830571324,44.34169507
"CBNA_389739","CBNA_389739",2,6.827664167,44.3410111
"CBNA_389742","CBNA_389742",1,6.829041253,44.34258604
"CBNA_389745","CBNA_389745",2,6.850254641,44.35791279
"CBNA_389748","CBNA_389748",2,6.852045691,44.35783187
"CBNA_389751","CBNA_389751",4,6.854178762,44.35901985
"CBNA_389757","CBNA_389757",4,6.854358765,44.36153978
"CBNA_389762","CBNA_389762",4,6.853539616,44.36451868
"CBNA_389763","CBNA_389763",1,6.85335057,44.36603965
"CBNA_389768","CBNA_389768",4,6.850920616,44.35964976
"CBNA_389769","CBNA_389769",1,6.848031558,44.35940679
"CBNA_389770","CBNA_389770",2,6.84769858,44.35993773
"CBNA_389775","CBNA_389775",1,6.847077467,44.36553564
"CBNA_389784","CBNA_389784",1,6.823199985,44.34416997
"CBNA_389785","CBNA_389785",3,6.82225495,44.34417895
"CBNA_389789","CBNA_389789",3,6.816035791,44.34594289
"CBNA_389793","CBNA_389793",4,6.815900659,44.35096477
"CBNA_389795","CBNA_389795",2,6.812192804,44.33490013
"CBNA_389796","CBNA_389796",1,6.811634833,44.33489118
"CBNA_389798","CBNA_389798",4,6.813749833,44.33539513
"CBNA_389800","CBNA_389800",4,6.815702881,44.33511621
"CBNA_389801","CBNA_389801",1,6.81677397,44.33445918
"CBNA_389805","CBNA_389805",2,6.818024988,44.33524214
"CBNA_389809","CBNA_389809",3,6.814577867,44.33871608
"CBNA_389810","CBNA_389810",4,6.814163842,44.33919303
"CBNA_389812","CBNA_389812",4,6.81264275,44.33941801
"CBNA_389813","CBNA_389813",2,6.813038741,44.34027304
"CBNA_389815","CBNA_389815",3,6.809159702,44.33833808
"CBNA_389819","CBNA_389819",3,6.826350155,44.34163208
"CBNA_389820","CBNA_389820",3,6.825999186,44.34048011
"CBNA_389821","CBNA_389821",2,6.825837123,44.34039914
"CBNA_389825","CBNA_389825",2,6.824190108,44.3411191
"CBNA_389828","CBNA_389828",3,6.822084034,44.34030006
"CBNA_389829","CBNA_389829",1,6.822668996,44.34045311
"CBNA_389834","CBNA_389834",1,6.810428671,44.34383694
"CBNA_389836","CBNA_389836",1,6.812804736,44.34262193
"CBNA_389840","CBNA_389840",4,6.815765905,44.33881508
"CBNA_389845","CBNA_389845",2,6.821724082,44.33568317
"CBNA_389846","CBNA_389846",1,6.821526073,44.33579117
"CBNA_389847","CBNA_389847",3,6.822894125,44.33784314
"CBNA_389848","CBNA_389848",2,6.798953512,44.32705226
"CBNA_389849","CBNA_389849",2,6.802175673,44.32769127
"CBNA_389850","CBNA_389850",1,6.800339501,44.33141721
"CBNA_389851","CBNA_389851",1,6.799610526,44.3317052
"CBNA_389852","CBNA_389852",4,6.792752236,44.33149812
"CBNA_389853","CBNA_389853",3,6.795983386,44.33221811
"CBNA_389854","CBNA_389854",4,6.789593184,44.3292931
"CBNA_389855","CBNA_389855",3,6.785354063,44.32714214
"CBNA_389856","CBNA_389856",4,6.786893066,44.32636818
"CBNA_389857","CBNA_389857",1,6.786983136,44.32438816
"CBNA_389859","CBNA_389859",3,6.801383509,44.33607903
"CBNA_389879","CBNA_389879",3,6.74954193,44.30879113
"CBNA_389888","CBNA_389888",2,6.762844305,44.31674705
"CBNA_389892","CBNA_389892",3,6.766309469,44.3172151
"CBNA_389898","CBNA_389898",2,6.750226098,44.29953035
"CBNA_389900","CBNA_389900",3,6.751963223,44.30007039
"CBNA_389905","CBNA_389905",3,6.759118446,44.3013484
"CBNA_389911","CBNA_389911",3,6.756328236,44.30797225
"CBNA_389912","CBNA_389912",3,6.759406407,44.30649632
"CBNA_389914","CBNA_389914",3,6.763177579,44.30503838
"CBNA_389917","CBNA_389917",1,6.76497763,44.30557842
"CBNA_389919","CBNA_389919",1,6.766129589,44.30888135
"CBNA_389924","CBNA_389924",1,6.764959606,44.30698232
"CBNA_389925","CBNA_389925",4,6.765508625,44.30699135
"CBNA_389928","CBNA_389928",3,6.76059441,44.30767529
"CBNA_389930","CBNA_389930",3,6.759892373,44.30442631
"CBNA_389931","CBNA_389931",4,6.760153496,44.30447136
"CBNA_389932","CBNA_389932",4,6.762097557,44.3038414
"CBNA_389933","CBNA_389933",3,6.762718605,44.30224843
"CBNA_389934","CBNA_389934",2,6.765112709,44.30149244
"CBNA_389935","CBNA_389935",3,6.764077616,44.30083545
"CBNA_389938","CBNA_389938",2,6.758704302,44.30837726
"CBNA_389943","CBNA_389943",1,6.757543349,44.30028638
"CBNA_389948","CBNA_389948",2,6.748092966,44.30895312
"CBNA_389949","CBNA_389949",3,6.748218895,44.30907913
"CBNA_389950","CBNA_389950",4,6.749964953,44.30890817
"CBNA_389951","CBNA_389951",1,6.75209803,44.30960116
"CBNA_389954","CBNA_389954",2,6.76220546,44.31091524
"CBNA_389958","CBNA_389958",2,6.779557964,44.31591929
"CBNA_389965","CBNA_389965",1,6.777622843,44.3170803
"CBNA_389966","CBNA_389966",2,6.778369938,44.31931223
"CBNA_389967","CBNA_389967",4,6.779701892,44.31993321
"CBNA_389977","CBNA_389977",4,6.781304094,44.31678328
"CBNA_389980","CBNA_389980",3,6.77968396,44.31546932
"CBNA_389982","CBNA_389982",2,6.783932128,44.31472241
"CBNA_389983","CBNA_389983",1,6.785903259,44.31345343
"CBNA_389989","CBNA_389989",2,6.780296147,44.3105194
"CBNA_389990","CBNA_389990",2,6.778928003,44.3098174
"CBNA_389991","CBNA_389991",2,6.778073028,44.30979039
"CBNA_389994","CBNA_389994",2,6.775786913,44.30985338
"CBNA_389996","CBNA_389996",3,6.772285809,44.30995236
"CBNA_389997","CBNA_389997",4,6.771376799,44.31018632
"CBNA_389999","CBNA_389999",3,6.782906127,44.31316545
"CBNA_390001","CBNA_390001",2,6.780809116,44.31298538
"CBNA_390004","CBNA_390004",1,6.785642314,44.3096555
"CBNA_390006","CBNA_390006",2,6.777983029,44.3070725
"CBNA_390007","CBNA_390007",4,6.777389033,44.30646048
"CBNA_390008","CBNA_390008",1,6.77706507,44.3057405
"CBNA_390009","CBNA_390009",2,6.776516083,44.30511053
"CBNA_390018","CBNA_390018",4,6.779828173,44.30479559
"CBNA_390019","CBNA_390019",3,6.770692798,44.30828734
"CBNA_390020","CBNA_390020",1,6.768847701,44.30762133
"CBNA_390022","CBNA_390022",4,6.772843936,44.30377851
"CBNA_390024","CBNA_390024",3,6.784544417,44.30043073
"CBNA_390028","CBNA_390028",1,6.782339287,44.30047567
"CBNA_390030","CBNA_390030",3,6.781565286,44.30098867
"CBNA_390034","CBNA_390034",1,6.790376455,44.31543341
"CBNA_390045","CBNA_390045",3,6.785984278,44.3101865
"CBNA_390047","CBNA_390047",4,6.792734703,44.30590265
"CBNA_390049","CBNA_390049",2,6.792257722,44.30130375
"CBNA_390053","CBNA_390053",2,6.79021451,44.30949357
"CBNA_390058","CBNA_390058",1,6.793814626,44.3077117
"CBNA_390071","CBNA_390071",1,6.791186516,44.30556966
"CBNA_390072","CBNA_390072",2,6.790763575,44.30727062
"CBNA_390075","CBNA_390075",4,6.790016586,44.30532669
"CBNA_390079","CBNA_390079",1,6.789539598,44.30346375
"CBNA_390080","CBNA_390080",3,6.787469544,44.30301371
"CBNA_390081","CBNA_390081",4,6.786659434,44.3022577
"CBNA_390085","CBNA_390085",1,6.792275561,44.31312954
"CBNA_390088","CBNA_390088",2,6.788270306,44.31546944
"CBNA_390153","CBNA_390153",1,6.891790398,44.40535997
"CBNA_390154","CBNA_390154",4,6.891826382,44.40508994
"CBNA_390159","CBNA_390159",4,6.893878499,44.40465793
"CBNA_390160","CBNA_390160",2,6.893518412,44.40492798
"CBNA_390161","CBNA_390161",3,6.894427508,44.40430702
"CBNA_390164","CBNA_390164",2,6.895957572,44.40480201
"CBNA_390174","CBNA_390174",1,6.885742305,44.39889807
"CBNA_390178","CBNA_390178",4,6.880864149,44.39512709
"CBNA_390179","CBNA_390179",4,6.881539117,44.39465013
"CBNA_390180","CBNA_390180",1,6.882439201,44.39344421
"CBNA_390182","CBNA_390182",3,6.882124186,44.39221122
"CBNA_390184","CBNA_390184",4,6.884626269,44.39090621
"CBNA_390186","CBNA_390186",3,6.887119459,44.39082528
"CBNA_390190","CBNA_390190",3,6.891925652,44.38646937
"CBNA_390191","CBNA_390191",1,6.891889567,44.38684738
"CBNA_390192","CBNA_390192",3,6.892276591,44.3857044
"CBNA_390199","CBNA_390199",1,6.889414599,44.38302242
"CBNA_390205","CBNA_390205",1,6.878451932,44.40184993
"CBNA_390229","CBNA_390229",3,6.875689103,44.38455234
"CBNA_390234","CBNA_390234",2,6.873538044,44.37917948
"CBNA_390235","CBNA_390235",1,6.874267159,44.3788015
"CBNA_390245","CBNA_390245",1,6.881044561,44.36481581
"CBNA_390261","CBNA_390261",2,6.876436371,44.36738078
"CBNA_390262","CBNA_390262",1,6.874906237,44.36896474
"CBNA_390263","CBNA_390263",1,6.873646266,44.36759669
"CBNA_390264","CBNA_390264",3,6.875823524,44.42758025
"CBNA_390277","CBNA_390277",4,6.887767124,44.41834657
"CBNA_390291","CBNA_390291",3,6.885697106,44.4118847
"CBNA_390301","CBNA_390301",4,6.883437999,44.41016576
"CBNA_390311","CBNA_390311",3,6.87913582,44.41498964
"CBNA_390312","CBNA_390312",4,6.878730796,44.41439565
"CBNA_390314","CBNA_390314",3,6.739785594,44.30846703
"CBNA_390321","CBNA_390321",2,6.735906502,44.3051731
"CBNA_390323","CBNA_390323",1,6.736572596,44.30430905
"CBNA_390325","CBNA_390325",3,6.736158558,44.30169909
"CBNA_390326","CBNA_390326",2,6.741486782,44.30293212
"CBNA_390327","CBNA_390327",3,6.742773846,44.30178024
"CBNA_390328","CBNA_390328",1,6.744240949,44.3014472
"CBNA_390331","CBNA_390331",4,6.744187217,44.26936286
"CBNA_390336","CBNA_390336",4,6.736437962,44.26955174
"CBNA_390343","CBNA_390343",4,6.684793713,44.29520967
"CBNA_390354","CBNA_390354",4,6.693163841,44.30879054
"CBNA_390355","CBNA_390355",3,6.692191848,44.3084395
"CBNA_390360","CBNA_390360",3,6.700067152,44.30908754
"CBNA_390361","CBNA_390361",3,6.699653067,44.30893459
"CBNA_390364","CBNA_390364",3,6.698501168,44.30418263
"CBNA_390380","CBNA_390380",3,6.634796707,44.30989681
"CBNA_390421","CBNA_390421",3,6.741135901,44.29127742
"CBNA_390422","CBNA_390422",4,6.740577815,44.29044043
"CBNA_390423","CBNA_390423",2,6.739236862,44.29082743
"CBNA_390426","CBNA_390426",4,6.738840785,44.2895494
"CBNA_390433","CBNA_390433",4,6.745924211,44.27714773
"CBNA_390438","CBNA_390438",3,6.737175903,44.28012655
"CBNA_390441","CBNA_390441",1,6.733548714,44.27927155
"CBNA_390443","CBNA_390443",2,6.729948588,44.27877651
"CBNA_390444","CBNA_390444",3,6.728796554,44.27783151
"CBNA_390449","CBNA_390449",1,6.723486392,44.27588754
"CBNA_390450","CBNA_390450",4,6.718725205,44.27486145
"CBNA_390452","CBNA_390452",1,6.720966342,44.27620247
"CBNA_390454","CBNA_390454",4,6.72509738,44.2795414
"CBNA_390455","CBNA_390455",3,6.722865329,44.28016244
"CBNA_390457","CBNA_390457",4,6.729930509,44.28233146
"CBNA_390464","CBNA_390464",1,6.703578134,44.23678302
"CBNA_390465","CBNA_390465",2,6.704487141,44.23630612
"CBNA_390466","CBNA_390466",4,6.705297219,44.23705309
"CBNA_390467","CBNA_390467",3,6.705297147,44.23735901
"CBNA_390468","CBNA_390468",3,6.703983135,44.23813308
"CBNA_390472","CBNA_390472",4,6.709158253,44.23920407
"CBNA_390474","CBNA_390474",3,6.712848478,44.23887115
"CBNA_390475","CBNA_390475",3,6.713163401,44.23882616
"CBNA_390476","CBNA_390476",2,6.713892464,44.23880816
"CBNA_390479","CBNA_390479",1,6.715467581,44.23597323
"CBNA_390480","CBNA_390480",4,6.713901479,44.23486616
"CBNA_390483","CBNA_390483",3,6.712821535,44.23206721
"CBNA_390484","CBNA_390484",2,6.71306456,44.22993429
"CBNA_390486","CBNA_390486",1,6.712596424,44.2350372
"CBNA_390487","CBNA_390487",2,6.712551502,44.23492914
"CBNA_390490","CBNA_390490",1,6.701625104,44.22946616
"CBNA_390492","CBNA_390492",1,6.700257124,44.2269012
"CBNA_390493","CBNA_390493",2,6.698538128,44.22420128
"CBNA_390500","CBNA_390500",1,6.700176187,44.22203229
"CBNA_390519","CBNA_390519",3,6.63971155,44.26706683
"CBNA_390528","CBNA_390528",1,6.636381364,44.27268273
"CBNA_390534","CBNA_390534",3,6.639729454,44.27007277
"CBNA_390544","CBNA_390544",4,6.638541327,44.2763996
"CBNA_390547","CBNA_390547",4,6.633969136,44.28007149
"CBNA_390551","CBNA_390551",2,6.623672658,44.28888223
"CBNA_390554","CBNA_390554",3,6.698393792,44.24408182
"CBNA_390557","CBNA_390557",4,6.700886944,44.24245294
"CBNA_390558","CBNA_390558",3,6.704487132,44.24111195
"CBNA_390560","CBNA_390560",4,6.704928095,44.24096794
"CBNA_390566","CBNA_390566",1,6.70065306,44.23774602
"CBNA_390567","CBNA_390567",1,6.700860023,44.23619799
"CBNA_390571","CBNA_390571",3,6.706548144,44.24681788
"CBNA_390574","CBNA_390574",2,6.712146338,44.24313702
"CBNA_390576","CBNA_390576",4,6.714531421,44.24343407
"CBNA_390577","CBNA_390577",3,6.71409043,44.24361399
"CBNA_390578","CBNA_390578",2,6.714153484,44.243011
"CBNA_390588","CBNA_390588",1,6.717942655,44.23678322
"CBNA_390591","CBNA_390591",4,6.716772709,44.22832339
"CBNA_390595","CBNA_390595",3,6.607607109,44.28838703
"CBNA_390596","CBNA_390596",1,6.610226223,44.28881009
"CBNA_390597","CBNA_390597",4,6.613898249,44.28984506
"CBNA_390602","CBNA_390602",2,6.617156305,44.29316606
"CBNA_390604","CBNA_390604",3,6.62671471,44.28936826
"CBNA_390610","CBNA_390610",2,6.678377173,44.23965374
"CBNA_390611","CBNA_390611",2,6.67889019,44.23850181
"CBNA_390622","CBNA_390622",1,6.642519367,44.28305956
"CBNA_390637","CBNA_390637",3,6.669916272,44.29151959
"CBNA_390638","CBNA_390638",3,6.698672991,44.23389409
"CBNA_390640","CBNA_390640",4,6.69973505,44.22994314
"CBNA_390641","CBNA_390641",3,6.698321921,44.2319501
"CBNA_390642","CBNA_390642",3,6.696431947,44.23207605
"CBNA_390645","CBNA_390645",3,6.69433489,44.23029411
"CBNA_390647","CBNA_390647",3,6.694937908,44.22837711
"CBNA_390651","CBNA_390651",3,6.690113845,44.22167227
"CBNA_390653","CBNA_390653",4,6.693452941,44.22097025
"CBNA_390654","CBNA_390654",4,6.69491994,44.22457017
"CBNA_390655","CBNA_390655",4,6.695819937,44.22420123
"CBNA_390656","CBNA_390656",2,6.696855036,44.22449823
"CBNA_390657","CBNA_390657",1,6.69708006,44.22340926
"CBNA_390658","CBNA_390658",3,6.684029515,44.23210301
"CBNA_390660","CBNA_390660",2,6.68748562,44.23036606
"CBNA_390673","CBNA_390673",3,6.684047605,44.2258661
"CBNA_390676","CBNA_390676",4,6.679412467,44.22271611
"CBNA_390679","CBNA_390679",3,6.683066622,44.22081721
"CBNA_390681","CBNA_390681",4,6.683291575,44.22008817
"CBNA_390686","CBNA_390686",4,6.687890674,44.2271081
"CBNA_390691","CBNA_390691",4,6.789854543,44.3013938
"CBNA_390700","CBNA_390700",3,6.777353119,44.30322058
"CBNA_390704","CBNA_390704",4,6.771754884,44.30475049
"CBNA_390706","CBNA_390706",3,6.771061872,44.30520044
"CBNA_390710","CBNA_390710",1,6.849057687,44.34772505
"CBNA_390712","CBNA_390712",2,6.845583562,44.34920097
"CBNA_390713","CBNA_390713",1,6.843423483,44.35050594
"CBNA_390714","CBNA_390714",4,6.842100487,44.349885
"CBNA_390717","CBNA_390717",4,6.839706394,44.35243193
"CBNA_390724","CBNA_390724",3,6.848229781,44.34744608
"CBNA_390743","CBNA_390743",1,6.408562916,43.80984094
"CBNA_390816","CBNA_390816",2,6.423904027,44.13672219
"CBNA_391147","CBNA_391147",2,6.74523085,44.30475014
"CBNA_391152","CBNA_391152",3,6.78105239,44.28406896
"CBNA_391153","CBNA_391153",4,6.748813095,44.29977331
"CBNA_391155","CBNA_391155",1,6.753682303,44.29818945
"CBNA_391157","CBNA_391157",3,6.760081493,44.29620049
"CBNA_391158","CBNA_391158",4,6.761503547,44.29485956
"CBNA_391159","CBNA_391159",1,6.761962554,44.29530055
"CBNA_391169","CBNA_391169",1,6.763204673,44.29135862
"CBNA_391171","CBNA_391171",3,6.763861687,44.28961266
"CBNA_391172","CBNA_391172",2,6.767281827,44.29228566
"CBNA_391173","CBNA_391173",2,6.76878492,44.29227673
"CBNA_391177","CBNA_391177",1,6.769919006,44.28891976
"CBNA_391181","CBNA_391181",3,6.765796819,44.2909807
"CBNA_391182","CBNA_391182",4,6.764374819,44.2888837
"CBNA_391183","CBNA_391183",3,6.76499583,44.28873076
"CBNA_391184","CBNA_391184",3,6.763735728,44.28846971
"CBNA_391185","CBNA_391185",1,6.762862713,44.28846069
"CBNA_391188","CBNA_391188",4,6.766858895,44.28336685
"CBNA_391189","CBNA_391189",1,6.768379946,44.28237684
"CBNA_391190","CBNA_391190",4,6.73366534,44.31131992
"CBNA_391193","CBNA_391193",2,6.720020831,44.3079358
"CBNA_391195","CBNA_391195",2,6.71588982,44.29785601
"CBNA_391196","CBNA_391196",2,6.72115515,44.29314015
"CBNA_391198","CBNA_391198",3,6.718671031,44.29626305
"CBNA_391214","CBNA_391214",3,6.868389398,44.42229737
"CBNA_391222","CBNA_391222",3,6.873240679,44.41626757
"CBNA_391225","CBNA_391225",4,6.671230117,44.30549637
"CBNA_391238","CBNA_391238",3,6.718157866,44.30560481
"CBNA_391241","CBNA_391241",4,6.71838282,44.30325587
"CBNA_391316","CBNA_391316",1,6.545943562,43.79651297
"CBNA_391353","CBNA_391353",4,6.557004287,43.83299809
"CBNA_391615","CBNA_391615",1,6.691896099,44.20518456
"CBNA_391618","CBNA_391618",1,6.695136309,44.19866871
"CBNA_391620","CBNA_391620",2,6.70232767,44.18322516
"CBNA_391621","CBNA_391621",3,6.701931583,44.18440407
"CBNA_391623","CBNA_391623",1,6.69698145,44.19042497
"CBNA_391624","CBNA_391624",1,6.696855447,44.19127091
"CBNA_391636","CBNA_391636",3,6.675505986,44.24977855
"CBNA_391646","CBNA_391646",3,6.666118407,44.26705811
"CBNA_391647","CBNA_391647",1,6.668152464,44.26828208
"CBNA_391650","CBNA_391650",3,6.683975118,44.26672523
"CBNA_391652","CBNA_391652",1,6.876237926,44.39958204
"CBNA_391655","CBNA_391655",4,6.87210694,44.38808926
"CBNA_391656","CBNA_391656",2,6.871107891,44.3888812
"CBNA_391657","CBNA_391657",1,6.871188891,44.38812526
"CBNA_391660","CBNA_391660",4,6.876490081,44.38557832
"CBNA_391663","CBNA_391663",2,6.856977109,44.41635741
"CBNA_391668","CBNA_391668",4,6.679781874,44.1870139
"CBNA_391673","CBNA_391673",2,6.682562885,44.19607671
"CBNA_391675","CBNA_391675",1,6.683831874,44.19925361
"CBNA_391683","CBNA_391683",2,6.683552808,44.20920747
"CBNA_391684","CBNA_391684",2,6.678349617,44.28804581
"CBNA_391686","CBNA_391686",2,6.684379777,44.28823481
"CBNA_391687","CBNA_391687",1,6.69040104,44.28676797
"CBNA_391688","CBNA_391688",4,6.692687184,44.28612894
"CBNA_391693","CBNA_391693",1,6.680662746,44.28656982
"CBNA_391701","CBNA_391701",3,6.672319504,44.2803869
"CBNA_391703","CBNA_391703",2,6.671203492,44.27481596
"CBNA_391900","CBNA_391900",1,6.587762258,45.06716651
"CBNA_392280","CBNA_392280",1,6.341814017,44.73018602
"CBNA_392384","CBNA_392384",4,6.401846109,44.74132818
"CBNA_406876","CBNA_406876",4,6.402247803,45.03443298
"CBNA_406878","CBNA_406878",3,6.401203777,45.03448697
"CBNA_407291","CBNA_407291",2,6.963103769,44.81304914
"CBNA_408165","CBNA_408165",2,6.095900029,44.53921864
"CBNA_408214","CBNA_408214",2,6.028190266,44.55144011
"CBNA_408217","CBNA_408217",3,6.029432147,44.56052097
"CBNA_408220","CBNA_408220",4,6.041537535,44.56639806
"CBNA_408221","CBNA_408221",1,6.042032465,44.5658401
"CBNA_408269","CBNA_408269",1,6.075981639,44.57324729
"CBNA_408277","CBNA_408277",3,6.075117339,44.58530714
"CBNA_408287","CBNA_408287",2,6.109984374,44.59896035
"CBNA_408291","CBNA_408291",1,6.116878948,44.58465045
"CBNA_408293","CBNA_408293",3,6.11150576,44.58306648
"CBNA_408297","CBNA_408297",3,6.082110084,44.61660877
"CBNA_408309","CBNA_408309",4,6.031394799,44.53409729
"CBNA_408347","CBNA_408347",4,6.100931071,44.54550963
"CBNA_408361","CBNA_408361",4,6.047827735,44.61670741
"CBNA_408366","CBNA_408366",4,6.049628134,44.59868081
